Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),Withholding tax,Currency (Withholding tax),Charge amount (EUR),Deposit fee (EUR),Stamp duty reserve tax (EUR),Notes,ID,Currency conversion fee (EUR)
Market buy,2021-03-18 19:02:30,CA40638K1012,HCANF,"Halo Collective",100.0000000000,0.09,USD,1.19119,,7.97,,,,,,,EOF1213943190,
Market buy,2021-03-19 08:40:05,GB00B15FWH70,CINE,"Cineworld Group",50.0000000000,123.30,GBX,85.51092,,72.46,,,,,0.36,,EOF1215033413,
Market buy,2021-03-19 08:41:28,GB0009895292,AZN,"AstraZeneca",0.2600000000,7111.00,GBX,85.51210,,21.73,,,,,0.11,,EOF1215033561,
Market sell,2021-03-19 14:01:39,XS2193972671,3STS,"-3x Short Tesla GraniteShares",2300.0000000000,0.01,USD,1.18821,0.23,14.52,,,,,,,EOF1215888825,
Market buy,2021-03-19 14:07:11,GB0009895292,AZN,"AstraZeneca",0.1900000000,7081.00,GBX,85.84079,,15.75,,,,,0.08,,EOF1215891475,
Market sell,2021-03-19 16:01:53,GB00BVFD4645,HSS,"HSS Hire Group",126.0000000000,15.10,GBX,85.85789,1.10,22.16,,,,,,,EOF1217080097,
Market buy,2021-03-19 16:03:22,IE00B1XNHC34,INRG,"iShares Global Clean Energy",1.9400000000,962.75,GBX,85.82280,,21.76,,,,,,,EOF1217080388,
Market sell,2021-03-19 16:19:00,GB00B63H8491,RR,"Rolls-Royce Holdings",60.0000000000,117.65,GBX,85.84821,2.28,82.23,,,,,,,EOF1217084160,
Market buy,2021-03-19 16:22:36,US91823B1098,UWMC,"UWM Holdings",10.0000000000,9.11,USD,1.19029,,76.54,,,,,,,EOF1217084926,
Market buy,2021-03-22 08:38:19,GB00B15FWH70,CINE,"Cineworld Group",4.8000000000,115.25,GBX,85.81099,,6.48,,,,,0.03,,EOF1219386444,
Market sell,2021-03-23 11:33:00,GB00B0WD0R35,SOLG,"SolGold",10.5000000000,21.65,GBX,86.21616,0.09,2.64,,,,,,,EOF1224070907,
Deposit,2021-03-23 11:35:53,,,,,,,,,10.00,,,10.07,0.07,,"Transaction ID: 4736164993520368",511e7636-465a-46a6-9dfe-f90994f37ed9,
Deposit,2021-03-23 11:38:46,,,,,,,,,5.00,,,5.04,0.04,,"Transaction ID: 1539164995256891",91f4c054-0db0-4e3e-8bb8-460a51178c17,
Market buy,2021-03-23 11:39:29,GB00B63H8491,RR,"Rolls-Royce Holdings",10.0000000000,107.90,GBX,86.18128,,12.58,,,,,0.06,,EOF1224071359,
Market sell,2021-03-23 13:43:08,US86882L1052,SURG,"SurgePays",40.0000000000,0.54,USD,1.18797,9.24,18.22,,,,,,,EOF1224096824,
Market sell,2021-03-23 14:49:27,US88338N1072,TXMD,"TherapeuticsMD",15.0000000000,1.51,USD,1.18706,1.07,19.08,,,,,,,EOF1225181224,
Market buy,2021-03-23 14:52:03,US62914V1061,NIO,"NIO Inc",1.1000000000,42.17,USD,1.18688,,39.08,,,,,,,EOF1225182201,
